backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
avx2,standard,padded,768,1,21845,17986184,889.558111
avx2,standard,padded,768,2,21845,17977788,889.973553
avx2,standard,padded,768,3,21845,17986515,889.541741
avx2,standard,padded,768,4,21845,17981304,889.799531
avx2,standard,padded,768,5,21845,17865135,895.585500
avx2,standard,padded,768,6,21845,17811936,898.260350
avx2,standard,padded,768,7,21845,17824670,897.618630
avx2,standard,padded,768,8,21845,17843535,896.669626
avx2,standard,padded,768,9,21845,17906413,893.520989
avx2,standard,padded,768,10,21845,18015519,888.109627
avx2,standard,padded,768,11,21845,18036338,887.084499
avx2,standard,padded,768,12,21845,18126999,882.647804
avx2,standard,padded,768,13,21845,18823539,849.986597
avx2,standard,padded,768,14,21845,18344298,872.192322
avx512-vbmi,standard,padded,768,0,21845,17742715,901.764801
avx512-vbmi,standard,padded,768,1,21845,17454212,916.670192
avx512-vbmi,standard,padded,768,2,21845,17480963,915.267417
avx512-vbmi,standard,padded,768,3,21845,17479861,915.325120
avx512-vbmi,standard,padded,768,4,21845,17478137,915.415405
avx512-vbmi,standard,padded,768,5,21845,17475072,915.575962
avx512-vbmi,standard,padded,768,6,21845,17486754,914.964313
avx512-vbmi,standard,padded,768,7,21845,17473208,915.673634
avx512-vbmi,standard,padded,768,8,21845,17483998,915.108539
avx512-vbmi,standard,padded,768,9,21845,17496993,914.428888
avx512-vbmi,standard,padded,768,10,21845,17482727,915.175067
avx512-vbmi,standard,padded,768,11,21845,17472587,915.706178
avx512-vbmi,standard,padded,768,12,21845,17462448,916.237853
avx512-vbmi,standard,padded,768,13,21845,17451547,916.810175
avx512-vbmi,standard,padded,768,14,21845,17472978,915.685687
scalar,standard,padded,1024,0,16384,51214095,312.413995
scalar,standard,padded,1024,1,16384,51439169,311.047016
scalar,standard,padded,1024,2,16384,53487785,299.133718
scalar,standard,padded,1024,3,16384,51381210,311.397883
scalar,standard,padded,1024,4,16384,51122934,312.971083
scalar,standard,padded,1024,5,16384,51027595,313.555832
